group_id,arm,surrogate_set_id
group_10,F,SET_001
group_02,D,SET_002
group_01,B,SET_003
group_11,F,SET_004
group_18,A,SET_005
group_03,D,SET_006
group_11,C,SET_007
group_12,B,SET_008
group_15,B,SET_009
group_05,C,SET_010
group_15,A,SET_011
group_18,F,SET_012
group_06,A,SET_013
group_06,C,SET_014
group_12,C,SET_015
group_08,C,SET_016
group_11,A,SET_017
group_14,E,SET_018
group_14,C,SET_019
group_09,C,SET_020
group_08,F,SET_021
group_11,D,SET_022
group_12,E,SET_023
group_08,A,SET_024
group_13,C,SET_025
group_14,B,SET_026
group_11,B,SET_027
group_02,C,SET_028
group_04,D,SET_029
group_07,B,SET_030
group_12,A,SET_031
group_06,D,SET_032
group_02,E,SET_033
group_10,C,SET_034
group_10,B,SET_035
group_17,E,SET_036
group_09,E,SET_037
group_02,A,SET_038
group_07,F,SET_039
group_10,E,SET_040
group_09,B,SET_041
group_18,E,SET_042
group_14,A,SET_043
group_16,B,SET_044
group_17,B,SET_045
group_07,A,SET_046
group_04,F,SET_047
group_07,D,SET_048
group_07,E,SET_049
group_04,A,SET_050
group_14,F,SET_051
group_01,F,SET_052
group_05,A,SET_053
group_02,B,SET_054
group_06,E,SET_055
group_15,D,SET_056
group_08,E,SET_057
group_01,C,SET_058
group_09,D,SET_059
group_03,E,SET_060
group_07,C,SET_061
group_04,E,SET_062
group_13,B,SET_063
group_08,D,SET_064
group_03,A,SET_065
group_09,A,SET_066
group_15,F,SET_067
group_17,C,SET_068
group_13,A,SET_069
group_15,E,SET_070
group_04,B,SET_071
group_13,E,SET_072
group_08,B,SET_073
group_16,C,SET_074
group_04,C,SET_075
group_01,A,SET_076
group_18,B,SET_077
group_16,D,SET_078
group_10,D,SET_079
group_17,F,SET_080
group_09,F,SET_081
group_16,F,SET_082
group_05,B,SET_083
group_12,F,SET_084
group_16,A,SET_085
group_13,F,SET_086
group_11,E,SET_087
group_05,F,SET_088
group_05,D,SET_089
group_17,A,SET_090
group_18,D,SET_091
group_01,E,SET_092
group_10,A,SET_093
group_13,D,SET_094
group_02,F,SET_095
group_12,D,SET_096
group_17,D,SET_097
group_15,C,SET_098
group_03,B,SET_099
group_18,C,SET_100
group_03,F,SET_101
group_05,E,SET_102
group_06,B,SET_103
group_06,F,SET_104
group_16,E,SET_105
group_01,D,SET_106
group_03,C,SET_107
group_14,D,SET_108
